epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2420.12,1.01372,0.71121,0.98702,0.89848,0.83784,0.92973,0.61024,1.21506,0.57569,1.29478,0.00212385,0.00212385,0.00212385
61,2459.86,1.00272,0.69352,0.98041,0.86756,0.88956,0.94332,0.63175,1.17976,0.57982,1.2663,0.002109,0.002109,0.002109
62,2499.54,0.98822,0.68697,0.97024,0.85229,0.82445,0.95134,0.62879,1.19394,0.58403,1.27972,0.00209415,0.00209415,0.00209415
63,2539.89,1.0027,0.68318,0.98093,0.85626,0.88088,0.96254,0.64633,1.19414,0.56362,1.28106,0.0020793,0.0020793,0.0020793
64,2579.94,0.97861,0.66873,0.97116,0.86571,0.87528,0.90826,0.58561,1.22242,0.58893,1.30379,0.00206445,0.00206445,0.00206445
65,2619.64,0.98851,0.68437,0.97504,0.83795,0.89154,0.93878,0.62271,1.20083,0.57988,1.27699,0.0020496,0.0020496,0.0020496
66,2659.15,0.97992,0.67209,0.97158,0.845,0.87215,0.94072,0.63056,1.22145,0.59448,1.29508,0.00203475,0.00203475,0.00203475
67,2698.94,0.97663,0.66902,0.96922,0.84058,0.84553,0.95234,0.6538,1.17409,0.58828,1.26387,0.0020199,0.0020199,0.0020199
68,2738.87,0.9719,0.67281,0.97712,0.82077,0.9185,0.91594,0.61483,1.20091,0.54389,1.2853,0.00200505,0.00200505,0.00200505
69,2778.97,0.97931,0.67655,0.97327,0.84612,0.88178,0.94438,0.64044,1.18742,0.56514,1.28488,0.0019902,0.0019902,0.0019902
70,2818.62,0.9831,0.68256,0.97184,0.8574,0.8864,0.93924,0.6167,1.18295,0.55196,1.25348,0.00197535,0.00197535,0.00197535
71,2858.57,0.95897,0.66755,0.96746,0.87822,0.86084,0.9084,0.61548,1.17731,0.56771,1.26775,0.0019605,0.0019605,0.0019605
72,2898.8,0.95307,0.65267,0.95837,0.8686,0.84719,0.89453,0.59125,1.20515,0.58113,1.28272,0.00194565,0.00194565,0.00194565
73,2938.98,0.95734,0.64952,0.95789,0.90769,0.85554,0.94596,0.61369,1.20148,0.59486,1.27236,0.0019308,0.0019308,0.0019308
74,2979.2,0.95797,0.65217,0.95715,0.80478,0.89844,0.93075,0.63635,1.18664,0.53239,1.26771,0.00191595,0.00191595,0.00191595
75,3019.27,0.93989,0.64127,0.95545,0.82009,0.90207,0.90727,0.62111,1.20575,0.55877,1.30071,0.0019011,0.0019011,0.0019011
76,3059.14,0.94044,0.62973,0.95309,0.82299,0.89136,0.95428,0.65264,1.17271,0.54873,1.28494,0.00188625,0.00188625,0.00188625
77,3099.1,0.95157,0.6433,0.95802,0.83179,0.88973,0.92967,0.6242,1.19021,0.55817,1.2835,0.0018714,0.0018714,0.0018714
78,3138.52,0.94441,0.63929,0.96525,0.87775,0.87602,0.90885,0.6212,1.16195,0.55587,1.26788,0.00185655,0.00185655,0.00185655
79,39.7465,1.19491,635.903,1.11512,0,0,0,0,nan,nan,nan,0.0018417,0.0018417,0.0018417
80,79.4249,1.65193,151.412,1.3556,0,0,0,0,nan,nan,nan,0.00182685,0.00182685,0.00182685
81,118.939,1.4154,2.17238,1.21371,0.80755,0.83269,0.86158,0.54965,1.23031,0.64975,1.34104,0.001812,0.001812,0.001812
82,158.551,1.1251,0.86583,1.05504,0.77223,0.87348,0.92511,0.61747,1.21241,0.59411,1.33848,0.00179715,0.00179715,0.00179715
83,198.117,1.05951,0.79081,1.02884,0.80803,0.86486,0.93836,0.63062,1.20889,0.94753,1.32696,0.0017823,0.0017823,0.0017823
